name,restrntZip,address,restrntDtlAddr,restrntInqrTel,rprsFod,salsTime,hldyGuid,restrntSumm,mapLat,mapLot,tag
동창 관저점,35383,대전 서구 관저남로25번길 23-17,대전 서구 관저동 1554-7 ,042-545-5552,"돼지한마리(900g) / 45,000원",16:00~24:00,(매주 월요일 휴무),회식하기 좋은 집 동창 돼지 한 마리 관저점,36.29564,127.33634,indoor
만년횟집,35200,대전 서구 만년남로3번길 129,대전 서구 만년동 15 ,042-483-4749,"물회(2인) / 29,000원",12:00~22:00 ,(매주 일요일 휴무) / 브레이크 타임 14:00~17:00,산낙지 물회로 유명한 만년횟집,36.366585,127.37169,indoor
몽상도취,35231,대전 서구 갈마역로11번길 24,대전 서구 갈마동 868 ,010-3050-8940,"어향가지 / 22,000원",17:00~01:00,(매주 화요일 휴무),맛에 취하고 분위기에 취하는 중식당 몽상도취,36.35218,127.37258,indoor
버터 피 베이크샵,35227,대전 서구 신갈마로230번길 9,대전 서구 갈마동 262-9 ,02-9552-3315,"르뱅쿠키, 흑임자파운드 / 4,500원",12:00~22:00,(비정기적 휴무),구운과자 디저트카페 버터 피 베이크샵,36.354164,127.369736,indoor
병규돈가스 본점,35200,대전 서구 만년남로3번길 8-8,대전 서구 만년동 264 ,042-486-3929,"병규돈가스 / 9,000원",11:30~20:30,(매주 월요일 휴무) / 브레이크 타임 15:00~17:00,진심의 음식을 담아내는 병규돈가스 본점,36.36577,127.376335,indoor
부여통닭 관저점,35382,대전 서구 관저중로64번길 34,대전 서구 관저동 1527 ,042-545-1132,"시골통닭 / 15,000원",13:30~01:00,(연중무휴),마성의 통닭 부여통닭 관저점,36.29759,127.3367,indoor
북한어죽,35224,대전 서구 월평중로4번길 63,대전 서구 월평동 765 ,042-489-6090,"어죽 / 7,000원",11:00~19:00,(연중무휴),추억의 맛 북한어죽,36.354465,127.36753,indoor
설짬뽕,35361,대전 서구 도안대로 37,대전 서구 관저동 1686 ,042-542-7545,"직화짬뽕 / 8,000원",11:00~21:00,(매주 월요일 휴무) / 브레이크 타임 15:00~17:00,불향 가득한 꼬막짬뽕이 유명한 설짬뽕,36.30496,127.334404,indoor
어담,35241,대전 서구 둔산남로105번길 11,대전 서구 둔산동 1432 ,042-472-0220,"어담정식 / 15,000원",11:30~22:00,(매주 일요일 휴무),제철 생선 사시미가 유명한 어담,36.34964,127.389015,indoor
오렌지블루스,35231,대전 서구 갈마역로25번길 9-3,대전 서구 갈마동 843 ,070-4300-0401,"블루스스테이크 / 29,800원",12:00~21:30,(연중무휴),갈마동 핫 플레이스 오렌지블루스,36.3526,127.373726,indoor
옥수 숯불구이,35326,대전 서구 변동중로 49,대전 서구 변동 73-34 ,042-526-8348,"숯불구이 석쇠한판 / 15,000원",00:00~24:00,(연중무휴),고추장 석쇠불고기와 칼국수의 환상조합 옥수 숯불구이,36.328873,127.374626,indoor
온유네 닭매운탕,35250,대전 서구 문정로170번길 50,대전 서구 둔산동 2115 ,042-255-9585,"닭매운탕(2-3인) / 32,000원",17:00~23:00,(매주 일요일 휴무) / 브레이크 타임 14:00~17:00,세상에서 하나밖에 없는 음식과의 만남 온유네 닭매운탕,36.349354,127.39857,indoor
와타요업,35231,대전 서구 갈마역로25번길 9-8,대전 서구 갈마동 846 ,010-4792-3220,"스페셜텐동 / 15,000원",12:00~20:30,(연중무휴) / 브레이크타임 15:00 ~ 17:30,일본식 튀김 덮밥 집 와타요업,36.35258,127.37343,indoor
운향,35220,대전 서구 한밭대로707번길 9,대전 서구 월평동 285 ,042-484-8217,"손만두버섯전골 / 9,900",11:00~21:00,(연중무휴),손만두 버섯전골과 쭈꾸미 볶음으로 유명한 운향,36.35836,127.377235,indoor
이태리국시,35229,대전 서구 둔산로31번길 31,대전 서구 둔산동 990 ,042-485-0950,"꼬막전골돌솥파스타 / 19,000원",11:30~21:30,(연중무휴),한식 재료를 이용하여 이탈리안 요리를 재해석한 이태리국시,36.35314,127.37726,indoor
초가집,35272,대전 서구 갈마로85번길 30,대전 서구 갈마동 396-16 ,042-533-5667,"두부수육 / 25,000원",11:00~01:00,(연중무휴),두부김치로 유명해진 선술집 분위기 초가집,36.345253,127.370674,indoor
카페멜리사,35378,대전 서구 관저동로105번길 54,대전 서구 관저동로105번길 54,042-522-8383,"핸드드립커피 / 5,000원",11:00~23:00,(연중무휴),커피마니아들이 즐겨 찾는 곳 카페멜리사,36.301292,127.33754,indoor
해몽,35200,대전 서구 만년남로11번길 55,대전 서구 만년동 146 ,042-485-4012,"해몽사시미 / 25,000원",17:00~24:00,"(매월 1, 3주 일요일 휴무)",음식으로 승부하는 횟집 해몽,36.366123,127.3735,indoor
행복한 분식,35250,대전 서구 둔산로206번길 23,대전 서구 둔산동 1910 ,042-484-2080,"잔치국수, 손수제비 / 5,000원",11:00~23:00,(매주 일요일 휴무),잔치국수 수제비로 유명한 동네맛집 행복한 분식,36.350166,127.39677,indoor
홍수연 커피랩,35327,대전 서구 배재로232번길 34,대전 서구 변동 80-21 ,042-528-8899,"아메리카노 / 3,500원",10:00~23:00,(연중무휴),플라워 카페 홍수연 커피랩,36.32843,127.37222,indoor
황짬뽕,35334,대전 서구 사마1길 17,대전 서구 도마동 125-24 ,042-531-0286,"꼬막짬뽕, 미니 깐풍기 /  6,000원",11:00~20:30,(매주 월요일 휴무),3500원 짬뽕이 맛있는 황짬뽕,36.316933,127.37696,indoor
권영철 콩짬뽕,34182,대전 유성구 월드컵대로275번길 49,대전 유성구 구암동 623-6 ,042-826-2292,"오징어콩짬뽕 / 9,000원",11:00~21:00,(매주 일요일 휴무),콩으로 만든 짬뽕 권영철 콩짬뽕,36.350716,127.33148,indoor
나마미돈카츠,34019,대전 유성구 관평1로 52,대전 유성구 관평동 1031 ,042-936-7892,"나마미돈카츠 / 11,000원",11:00~21:00,"(연중무휴) / 브레이크 타임 15:00~17:00 주말, 공휴일 제외",일본식 돈가스전문점 나마미돈카츠,36.424038,127.39041,indoor
늘상상,34190,대전 유성구 봉명서로 17-5,대전 유성구 봉명동 1052-5 ,042-826-0128,"유린기 / 25,000원",11:30~21:00,(매주 월요일 휴무) / 브레이크 타임 15:00~17:30,유린기가 맛있는 중식당 늘상상,36.34395,127.34131,indoor
다해어죽,34187,대전 유성구 계룡로105번길 15,대전 유성구 봉명동 551-7 ,042-822-3613,"도리뱅뱅이 / 12,000원",10:30~22:00,"(연중무휴) / 브레이크 타임 15:00~17:00 주말, 공휴일은 없음",깔끔한 어죽과 도리뱅뱅이 다해어죽,36.354317,127.3425,indoor
도덕봉가든,34159,대전 유성구 동서대로189번길 13,대전 유성구 덕명동 172-1 ,042-825-3777,"유황오리한마리 / 50,000원",11:00~21:30,(연중무휴),수통골 오리훈제와 수제비가 맛있는 도덕봉가든,36.345604,127.295685,indoor
동신수산,34091,대전 유성구 노은동로75번길 12,대전 유성구 노은동 534-13 ,042-476-9968,"모둠회(2인) / 80,000원~",11:30~22:00 ,(연중무휴) / 브레이크 타임 14:00~17:00,개인 룸으로 되어 있는 활어회 전문점 동신수산,36.367428,127.32291,indoor
리코타코,34138,대전 유성구 대학로163번길 37,대전 유성구 궁동 407-6 ,042-823-7234,"타코 / 8,500원",11:00~23:00,(연중무휴) / 브레이크 타임 15:00~17:00,미국식 멕시칸레스토랑 리코타코,36.362175,127.351425,indoor
마시기통차,34170,대전 유성구 문화원로6번길 94,대전 유성구 장대동 283-25 ,042-824-5090,"뒷고기 / 6,000원",16:00~02:00,(연중무휴),6천원의 행복 대전원조 뒷고기 마시기통차,36.35793,127.337715,indoor
슬로우브레드,34052,대전 유성구 유성대로 1734-1,대전 유성구 전민동 304-6 ,042-861-0425,"몽블랑 / 4,300원",07:30~22:00,(명절당일 휴무),정직하고 아름다운 베이커리 슬로우브레드,36.399387,127.40195,indoor
아람답다,34208,대전 유성구 학하서로 73,대전 유성구 계산동 712-3 ,042-825-2862,"쌍화차, 대추차, 단팥죽 / 7,000원",10:00~21:00 ,(연중무휴),수통골 유명 찻집 아람답다,36.344078,127.29837,indoor
오시오칼국수,34094,대전 유성구 노은로410번길 8,대전 유성구 하기동 산 26-15 ,042-822-1016,"들깨칼국수, 들깨수제비 / 7,500원",11:00~21:00,(매주 월요일 휴무) / 브레이크 타임 15:00~17:00,칼국수의 새로운 맛 오시오칼국수,36.39069,127.32885,indoor
온천칼국수,34185,대전 유성구 온천북로 61,대전 유성구 봉명동 690-4 ,042-824-6668,"물총칼국수 / 7,000원",11:00~22:00,(연중무휴),물총칼국수와 주꾸미볶음이 맛있는 온천칼국수,36.356598,127.349785,indoor
왕비성,34139,대전 유성구 어은로48번길 23,대전 유성구 어은동 113-12 ,042-862-9292,"짬뽕 / 6,500원",11:00~21:00,(매주 월요일 휴무),야끼짬뽕이 맛있는 중식당 왕비성,36.3633,127.35817,indoor
잇마이타이,34184,대전 유성구 문화원로 77,대전 유성구 봉명동 611-1 ,042-825-5466,"뿌팟퐁커리(2마리) / 16,900원",11:00~21:30 ,(매주 일요일 휴무),기다려야 먹는 태국요리전문점 잇마이타이,36.359432,127.344536,indoor
진신,34193,대전 유성구 원신흥로55번길 66-25,대전 유성구 원신흥동 508-9 ,042-822-5089,"탄탄파스타 / 12,000원",11:30~21:30,(매주 월요일 휴무),사천요리를 제대로 맛볼 수 있는 중식당 진신,36.33891,127.344185,indoor
청담이상 문지점,34050,대전 유성구 문지로299번길 86-14,대전 유성구 문지동 653-3 ,042-863-1411,"사시미 / 30,000원~60,000원",11:30~02:00,(매주 일요일 휴무) / 브레이크 타임 14:30~17:00 토요일 17:30 오픈,일본 사케 전문점 이자카야 청담이상 문지점,36.393368,127.40607,indoor
콜마르브레드,34139,대전 유성구 어은로51번길 52,대전 유성구 어은동 100-9 ,042-863-0206,"끼리바나나 / 4,000원",08:00~22:30,(연중무휴),정직한 동네빵집 콜마르브레드,36.36201,127.35406,indoor
테판마루,34190,대전 유성구 봉명서로 11-12,대전 유성구 봉명동 1052-12 ,042-826-7852,"기본코스 / 68,000원~98,000원",12:00~22:00,(매주 월요일 휴무),대전 유일의 철판코스요리전문점 테판마루,36.34382,127.34076,indoor
하얀돌곱창,34087,대전 유성구 노은로 151,대전 유성구 지족동 894-2 ,042-824-7792,"한우돌곱창(1인) / 20,000원",17:00~23:00,(일요일 휴무),노은 곱창맛집 하얀돌곱창,36.373165,127.31738,indoor
홍천식당,34178,대전 유성구 계룡로74번길 8,대전 유성구 봉명동 448-14 ,042-822-3175,"콩나물비빔밥 / 5,000원",24시간,(연중무휴),별미 콩나물밥으로 유명한 홍천식당,36.354168,127.33874,indoor
흑룡산촌두부,34154,대전 유성구 수통골로 65-7,대전 유성구 덕명동 182-9 ,042-824-0511,"촌두부한상(2인) / 30,000원",11:00~21:30,(연중무휴),직접 쑨 손두부 맛으로 유명한 흑룡산촌두부,36.346436,127.29093,indoor
강길도 낙지마을,34404,대전 대덕구 선비마을로 9,대전 대덕구 송촌동 506-2 ,042-639-8582,"낙지덮밥+유기농쌈채 / 10,000원",11:30~21:00,(연중무휴) /  브레이크 타임 15:00~17:00,유기농 채소로 쌈 싸먹는 낙지 덮밥 강길도 낙지마을,36.362354,127.44619,indoor
뚝배기에 담은 이탈리아 ,34409,대전 대덕구 송촌북로4번길 47-10,대전 대덕구 송촌동 475-7 ,042-621-5540,"베이컨로제깔조네 / 18,000원",11:30~21:30,(매주 일요일 휴무) / 브레이크 타임 15:00~17:00,신박한 이태리레스토랑 뚝배기에 담은 이탈리아 ,36.363632,127.439705,indoor
뜰에식당,34330,대전 대덕구 덕암로 247,대전 대덕구 덕암동 18-5 ,042-936-3748,"모둠회 / 39,000원~78,000원",17:00~23:00,"(매월 1, 3주 일요일 휴무)",다양한 곁들이 음식이 일품인 횟집 뜰에식당,36.44272,127.424675,indoor
다온,34409,대전 대덕구 계족산로81번길 9,대전 대덕구 송촌동 475-5 ,010-9730-2997,"행복세트 / 59,000원(4~5인)",11:30~22:00,(연중무휴),카페 분위기의 깔끄마 보쌈 다온,36.3634,127.44,indoor
부추해물칼국수,34310,대전 대덕구 신탄진로804번길 31,대전 대덕구 신탄진동 139-24 ,042-934-5656,"칼국수 / 8,000원",11:00~20:00,(연중무휴),전국에서 바지락 제일 많이 퍼주는 부추해물칼국수,36.44956,127.43165,indoor
비래키키,34412,대전 대덕구 비래골길 47-12,대전 대덕구 비래동 437 ,042-636-9180,"스테이크로제파스타, 트러플 버섯리조또 / 16,000원",11:00~22:30,(연중무휴),대전 수영장 레스토랑 카페 비래키키,36.36791,127.44918,indoor
야호정식당,34316,대전 대덕구 대청호수로 1869,대전 대덕구 삼정동 240-14 ,Unknown,"장어구이 / 30,000원",11:30~21:30,(매주 월요일 휴무),대청호반 따라 드라이브하기 좋은 곳 야호정식당,36.442448,127.46649,indoor
양푼이 동태찌개,34411,대전 대덕구 계족산로5번길 51,대전 대덕구 중리동 98-3 ,042-638-0350,"동태찌개 / 9,000원",11:00~21:00,(매주 일요일 휴무),동태찌개 단일메뉴로 뜨는 양푼이 동태찌개,36.364204,127.43123,indoor
코다리밥상 송촌점,34408,대전 대덕구 송촌북로36번길 24,대전 대덕구 송촌동 450-5 ,042-624-0300,"코다리조림 / 24,000원~42,000원",11:00~22:00,(연중무휴),정성과 마음을 담은 코다리밥상 송촌점,36.36579,127.437614,indoor
통일면옥,34394,대전 대덕구 한밭대로1117번길 17,대전 대덕구 중리동 406-13 ,042-627-2315,"녹두빈대떡 / 10,000원",11:30~21:50,"(1, 3, 5주 일요일 휴무)",손님이 부쳐 먹는 녹두빈대떡으로 유명한 통일면옥,36.359745,127.42254,indoor
영화반점(전영화),34310,대전 대덕구 신탄진동로23번길 46,대전 대덕구 신탄진동 139-17 ,042-931-4158,"탕수육, 짜장면, 짬뽕",11:00~21:00,"브레이크 타임 오후3시~ 오후5시, 일요일 휴무",영화반점(전영화),36.44983,127.43158,indoor
금광식당,34935,대전 중구 충무로 127,대전 중구 대사동 64-18 ,Unknown,한정식,11:00~21:00,(연중무휴),금광식당,36.31926,127.43065,indoor
연아식당,34973,대전 중구 유천로 57-9,대전 중구 유천동 212-2 ,042 -583 -8956,Unknown,11:00~21:00,(연중무휴),연아식당,36.317585,127.397285,indoor
별천지,34711,대전 동구 산서로1659번길 29,대전 동구 대별동 198 ,042-271-0207,Unknown,11:00~21:00,"매월 첫째, 세째주 월요일",별천지,36.2911,127.460945,indoor
홍천식당,34178,대전 유성구 계룡로74번길 8,대전 유성구 봉명동 448-14,042)822-3175,콩나물비빔밥,11:00~21:00,"명절(설, 추석) 전일 및 당일",홍천식당,36.354168,127.33874,indoor
영동식당,34909,대전 중구 계룡로874번길 27-9,대전 중구 오류동 153-25 ,042)531-6016,"닭볶음탕, 염소전골",11:00~21:00,"매월 둘째, 넷째 일요일",영동식당,36.322655,127.40989,indoor
광천식당,34838,대전 중구 대종로505번길 29,대전 중구 선화동 52-2 ,042)226-4751,"두부/오징어두루치기, 칼국수",11:00~21:00,매주 월요일,광천식당,36.32857,127.42359,indoor
사리원면옥,34920,대전 중구 중교로 62,대전 중구 대흥동 188-5 ,Unknown,냉면,11:00~21:00,"명절 당일(설, 추석)",사리원면옥,36.326153,127.42656,indoor
중국성,34625,대전 동구 대전로815번길 66,대전 동구 정동 8-5 ,042)254-3353,Unknown,11:00~21:00,매주 일요일,중국성,36.334675,127.43027,indoor
평양숨두부,34697,대전 동구 대전로 381,대전 동구 대성동 163-2 ,042)284-4141,숨두부,11:00~21:00,매월 둘째주 월요일,평양숨두부,36.301247,127.45673,indoor
태화장,34625,대전 동구 중앙로203번길 78,대전 동구 정동 36-32 ,042)256-2407,"자장면, 전가복",11:00~21:00,"매달 첫번째, 세번째 월요일",태화장,36.333847,127.42936,indoor
백천집식당,34628,대전 동구 대전로791번길 48,대전 동구 중동 28-15 ,042)226-0140,순대국밥,11:00~21:00,매월 둘째주 일요일,백천집식당,36.32955,127.43062,indoor
대성관,34984,대전 중구 계백로1584번길 114,대전 중구 유천동 272-35 ,042)582-9182,"짬뽕, 자장면",11:00~21:00,매주 일요일,대성관,36.313004,127.39759,indoor
정식당,34915,대전 중구 중앙로130번길 37-13,대전 중구 대흥동 216-7 ,042)357-5055,"닭볶음탕,빈대떡",11:00~21:00,연중무휴,정식당,36.32678,127.42573,indoor
왕관식당,Unknown,확인요망,확인요망,042)221-1663,콩나물밥,11:00~21:00,매주 일요일,왕관식당,Unknown,Unknown,indoor
진로집,34915,대전 중구 중교로 45-5,대전 중구 대흥동 314-1 ,042-226-0914,Unknown,11:00~21:00,연중무휴,진로집,36.32588,127.42469,indoor
소나무집,34926,대전 중구 대전천서로 427-3,대전 중구 대흥동 2-5 ,042-256-1464,오징어칼국수,11:00~21:00,"매월 첫째, 세째주 월요일",소나무집,36.327194,127.430466,indoor
만수불고기,34170,대전 유성구 장대로 38,대전 유성구 장대동 283-18 ,042)485-4848,"돼지주물럭, 삼결살",11:00~21:00,매주 일요일,만수불고기,36.358402,127.33652,indoor
경동오징어국수,34580,대전 동구 계족로 369,대전 동구 성남동 200-342 ,042)626-5707,Unknown,11:00~21:00,매주 일요일,경동오징어국수,36.344784,127.433174,indoor
광천식당,35304,대전 서구 계룡로 670-16,대전 서구 용문동 256-9 ,042)533-4415,염소전골,11:00~21:00,매주 일요일,광천식당,36.33618,127.39437,indoor
사리원면옥,35229,대전 서구 둔산로31번길 77,대전 서구 둔산동 968 ,042)487-4208,"냉면, 돼지갈비",11:00~21:00,"명절(설, 추석) 전날 및 당일",사리원면옥,36.35526,127.377266,indoor
