name,tourspotZip,address,tourspotDtlAddr,refadNo,mngTime,tourUtlzAmt,pkgFclt,cnvenFcltGuid,urlAddr,tourspotSumm,mapLat,mapLot
유성온천 족욕체험장,34186,대전 유성구 봉명동 574,,042-611-2697,00:00 ~ 24:00 연중무휴,,,,http://www.yuseong.go.kr ,도심 속 온천 유성온천과 족욕체험장,36.3553,127.344795
3대 하천과 자전거길,35029,대전 중구 문창동 116-8,,,,,,,,강 따라 떠나는 자전거 여행 3대 하천과 자전거길,36.3156358,127.4383064
장태산자연휴양림,35428,대전 서구 장안로 461,대전 서구 장안동 259 ,042-270-7883,00:00 ~ 24:00 연중무휴,,472면(무료),"숙박시설[숲속의집, 산림문화수양관, 숲속수련장], 이용요금[6인이하 8만원, 4-5인용 6~8만원 15인용 35만원]",http://www.jangtaesan.or.kr ,메타세콰이어 숲이 아름다운 장태산자연휴양림,36.2268456,127.3458763
대청호 오백리길,34316,대전 대덕구 대청로 618-136,대전 대덕구 미호동 1-5 ,042-869-5114,,,,,,대표 녹색생태 관광지 대청호 오백리길,36.4744437,127.4815444
한밭수목원,35204,대전 서구 둔산대로 169,대전 서구 만년동 396 ,042-270-8452,"06:00 ~ 21:00 [하절기(4월~9월) 06:00~21:00 동절기(10월~3월) 08:00~19:00] 열대식물원 : 09:00~18:00 기타    내용:동원 : 매주 월요일 휴무, 서원 : 매주 화요일 휴무",,한밭수목원 : 465면(무료),"엑스포시민광장내 매장, 자전거대여소,커피숍 등",http://www.daejeon.go.kr/gar/index.do ,도심속 비밀정원 한밭수목원,36.3648845,127.3937036
금강로하스 에코파크,34315,대전 대덕구 대청로 167,대전 대덕구 신탄진동 5,,,,,,,금강을 체험하는 금강로하스 에코파크,36.448902,127.443596
카이스트(KAIST),34141,대전 유성구 대학로 291,대전 유성구 구성동 23 ,042-350-2293,,,,,,대한민국의 미래가 보인다 카이스트(KAIST),36.368282,127.35698
엑스포과학공원과 세계엑스포 기념품박물관,34126,대전 유성구 대덕대로 480,대전 유성구 도룡동 3-1 ,042-869-5114,,,,,,엑스포과학공원과 세계엑스포 기념품박물관,36.376625,127.3872
한국표준과학연구원,34113,대전 유성구 가정로 267,대전 유성구 도룡동 452,042-868-5593,,,,,http://www.kriss.re.kr/ ,모든 기준을 만들다 한국표준과학연구원과 해시계,36.3856,127.36851
한국전자통신연구원,34129,대전 유성구 가정로 218,대전 유성구 가정동 161 ,042-860-6114,"09:00 ~ 18:00 (휴무일: 공휴일, 명절)",,,,http://www.etri.re.kr/ ,ICT 발원지를 찾아서 한국전자통신연구원,36.38266,127.36523
국립중앙과학관,34143,대전 유성구 대덕대로 481,대전 유성구 구성동 32-2,042-601-7894,"09:30 ~ 17:50 (휴무일: 월요일, 명절, 기타)",시설대관시 대관비용있음 사이트 참조 http://www.science.go.kr/,"대형2,000원 소형1,000원 이용시간 08:30 ~ 17:50 휴관일과 운영시간 이후 18:00까지는 무료개방","전시관,편의시설안내,기념품점,물품보관소,주차장,유아보호시설,구내식당 및 매점,",http://www.science.go.kr/ ,우주의 신비를 찾아서 국립중앙과학관과 천체투영기,36.377132,127.37499
한국한의학연구원,34054,대전 유성구 유성대로 1672,대전 유성구 전민동 461-24 ,042-861-1994,,,,,https://www.kiom.re.kr ,한의학 연구의 허브 한국한의학연구원,36.398373,127.39449
대전시민천문대,34128,대전 유성구 과학로 213-48,대전 유성구 신성동 7-13 ,"042-863-8762,3","14:00 ~ 22:00 (휴무일: 공휴일,명절, 매주월요일, 공휴일다음날)",,,커피숍 등,https://djstar.kr/ ,우주의 낭만을 찾아서 대전시민천문대와 굴절망원경,36.381622,127.35366
한국천문연구원,34055,대전 유성구 대덕대로 776,대전 유성구 화암동 61-1 ,042-865-2084,,,,,http://www.kasi.re.kr/ ,달에서 몸무게는 얼마일까? 한국천문연구원,36.39962,127.37544
한국항공우주연구원,34133,대전 유성구 과학로 169-84,대전 유성구 어은동 45 ,042-860-2114,*견학안내(042-860-2155) : 평일 15;00~16:00 / 온라인 신청,,,,http://www.kari.re.kr/ ,우주를 향한 인간의 도전 한국항공우주연구원과 나로호,36.374893,127.35454
한국기계연구원,34103,대전 유성구 가정북로 156,대전 유성구 장동 171 ,042-861-7401,,,,,https://www.kimm.re.kr/ ,미래의 여행 한국기계연구원,36.396584,127.35648
뿌리공원 캠핑장,35085,대전 중구 뿌리공원로 79,대전 중구 침산동 364,042-581-4445,,,,,,뿌리공원 캠핑장,36.2855499,127.380216
장태산자연휴양림캠핑장,35428,대전 서구 장안로 461,대전 서구 장안동 259,042-270-7886,,,,,,장태산자연휴양림캠핑장,36.2268456,127.3458763
미륵원,34500,대전 동구 마산동 135-2,대전 동구 마산동 135-2,042-251-4204,,,,,,사회복지기관의 효시 미륵원,36.3886296,127.4895074
이응노 미술관,35204,대전 서구 둔산대로 157,대전 서구 만년동 396,042-611-9821,"10:00 ~ 18:00 / 하절기(3월~10월) → 10:00~19:00(금→21:00) 동절기(11월~2월)→10:00~18:00(금→21:00) / 휴무일 : 공휴일,명절,매주 월요일","500원 : 어른, 300원 : 청소년 및 어린이 , 무료 : 군인, 노인(65세 이상) 및 유아(6세 이하), 장애인(1급~3급) 및 보호자, 국가유공자와 그 배우자, 독립유공자, 5.18 민주 유공자, 다자녀 우대 '꿈나무 사랑카드'소지자 전원","한밭수목원 : 465면(무료), 예술의전당 : 268면(무료), 시립미술관:18면(무료) 사용가능",기념품매장 등,http://www.leeungnomuseum.ok.kr,이응노 미술관,36.3648845,127.3937036
대전시립미술관,35204,대전 서구 둔산대로 155,대전 서구 만년동 396,042-270-7370,"10:00 ~ 19:00 / 하절기(3월~10월)→10:00~19:00(금→21:00) 동절기(11월~2월)→10:00~18:00(금→21:00) / 휴무일 : 명절, 매주 월요일","어른 : 500원, 어른단체(20인이상) : 400원 어린이,청소년,군인 : 300원, 어린이,청소년,군인 단체(20인이상) : 200원 노인(65세이상)및 장애인, 국가유공자, 독립유공자, 5.18민주유공자 : 무료",사용가능한 주차시설 : 한밭수목원 : 462면(무료) 예술의전당 : 268(무료) 시립미술관 : 18면(무료),"기념품점, 휴게실, 자료실",http://dmma.daejeon.go.kr,대전시립미술관,36.3648845,127.3937036
여진불교미술관,34041,대전 유성구 엑스포로 624, 대전 유성구 탑립동 442-1,042-934-8466,10:00 ~ 17:00 / 휴무일 : 매주 월요일,,50대-무료,,,여진불교미술관,36.3761443,127.4008419
한남대 박물관,34430,대전 대덕구 한남로 70,대전 대덕구 오정동 133,042-629-7144,"10:00 ~ 16:00 / 매주 월,수 금 개관 / 휴무일: 공휴일,명절, 화,목,토,일요일 , 방학기",,,,http://bakmul.hannam.ac.kr,한남대 박물관,36.3528,127.42331
대전선사박물관,34084,대전 유성구 노은동로 126,대전 유성구 노은동 523,042-826-8640,"09:00 ~ 19:00 / 하절기(3월~10월)→10:00~19:00 동절기(11월~2월)→10:00~18:00 / 휴무일: 명절, 1.1, 추석, 설날, 매주 월요일",,20대 무료주차,,http://www.daejeon.go.kr/pre/index.do,대전선사박물관,36.3794687,127.3205882
충남대 박물관,34134,대전 유성구 대학로 99,대전 유성구 궁동 220,042-821-6041,"10:00 ~ 17:00 / 휴무일: 공휴일,명절, 매주 토요일, 일요일",,"30분 500원, 추가 10분당 200원 경차(800cc이하) 주차요금 50% 할인 24시간 주차시 20,000원",,http://museum.cnu.ac.kr,충남대 박물관,36.36837,127.342
한밭교육박물관,34623,대전 동구 우암로 96,대전 동구 삼성동 113-1,042-670-2200,09:30 ~ 17:00 / [하절기←09:30~17:00 동절기→09:30~16:00] / 휴무일: 매주 월요일,,주차요금없음,야외전시장,http://www.hbem.or.kr,한밭교육박물관,36.3495227,127.4511251
지질박물관,34132,대전 유성구 과학로 124,대전 유성구 가정동 30,042-868-3797,"10:00 ~ 17:00 / 휴무일 : 공휴일,명절, 법정휴일다음날, 매주월요일",,무료,"영상실, 어린이도서실", http://museum.kigam.re.kr,지질박물관,36.377308,127.3631967
화폐박물관,34132,대전 유성구 과학로 80-67,대전 유성구 가정동 35,042-870-1200,"10:00 ~ 17:00 / 휴무일: 공휴일,명절,매주월요일",,무료,,http://museum.komsco.com,화폐박물관,36.3775349,127.3705551
대전시립박물관,34194,대전 유성구 도안대로 398,대전 유성구 상대동 488,042-270-8600,"동절기(11~2월) 10:00~18:00 / 하절기(3~10월) 10:00~19:00 /  휴무일 : 매주 월요일, 1월 1일, 명절 당일",,,,http://www.daejeon.go.kr/his/index.do,대전시립박물관,36.3370227,127.3355036
계족산성,34345,대전 대덕구 산디로 79-70,대전 대덕구 장동 산 63,042-270-4521,09:00 ~ 24:00,,주차시설 25대,화장실/ 운동기구/ 물놀이장/ 음수대,,계족산성,36.3960421,127.4403202
회덕향교대성전,34352,대전 대덕구 대전로1397번안길 126,대전 대덕구 읍내동 134, 042-625-5565,,,,,http://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020304&menuId=ECT020304,회덕향교대성전,36.3810752,127.4216113
대전 소대헌ㆍ호연재 고택,34402,대전 대덕구 동춘당로 70,대전 대덕구 송촌동 198-4,,,,동춘당공원 주차장 무료이용 : 30면,,http://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020305&menuId=ECT020305,대전 소대헌ㆍ호연재 고택,36.3601613,127.4473792
둔산선사유적공원,35214,대전 서구 대덕대로317번길 9,대전 서구 월평동 281,042-270-2418,09:00 ~ 24:00 / 연중무휴,,,,,둔산선사유적공원,36.3611894,127.3780534
도산서원,35254,대전 서구 남선로 8,대전 서구 탄방동 220-1,042-486-7771,,,무료,,,도산서원,36.3460371,127.3968566
봉소루,35060,대전 중구 봉소루로 29,대전 중구 석교동 61-2,042-606-6283,,,,,,봉소루,36.3082483,127.4424514
단재신채호선생생가지,35086,대전 중구 단재로229번길 47,대전 중구 어남동 233,042-606-6283,연중무휴,,무료,,,단재신채호선생생가지,36.2321067,127.4103139
창계숭절사,35085,대전 중구 대둔산로137번길 67,대전 중구 안영동 567-7,042-606-6283,,,,,,창계숭절사,36.2840505,127.3741935
유회당,35072,대전 중구 운남로85번길 32-20,대전 중구 무수동 94,042-606-6283,연중무휴,,50여대 / 무료,,,유회당,36.2791358,127.4074948
고산사 대웅전,34699,대전 동구 대전로316번길 205, 대전 동구 대성동 3,042-282-2263,04:30 ~ 18:00 / 연중무휴,,150대(무료),,,고산사 대웅전,36.2998261,127.4663208
우암사적공원,34505,대전 동구 충정로 53,대전 동구 가양동 3,042-673-9286,05:00 ~ 21:00 / 연중무휴,,"유물관, 남간정사 등 : 10:00~17:00시까지만 개방 100대(무료)",,,우암사적공원,36.3434178,127.4520107
문충사,34663,대전 동구 동부로73번길 44,대전 동구 용운동 356-1,042-608-6575,,,,,,문충사,36.3234741,127.4610403
송애당,34411,대전 대덕구 계족산로17번길 60,대전광역시 대덕구 계족산로17번길 60,042-608-6575,,,공영주차장 : 무료,,http://www.daedeok.go.kr/ect/goContents.do?link=/ect/ect02/ECT020308&menuId=ECT020308,송애당,36.3646,127.43288
쌍청당,34411,대전 대덕구 쌍청당로 17,대전 대덕구 중리동 71-1,042-608-6575,11:00 ~ 18:00,,,,,쌍청당,36.36386,127.4344
진잠향교대성전,34225,대전 유성구 교촌로 67,대전 유성구 교촌동 630-1,042-543-1811,"09:00 ~ 17:00 / 휴무일 : 공휴일, 명절",,30면(무료),,,진잠향교대성전,36.3013784,127.3135022
숭현서원,34124,대전 유성구 엑스포로251번길 36,대전광역시 유성구 엑스포로251번길 36,042-861-0409,00:00 ~ 24:00,,,,,숭현서원,36.379585,127.40435
수운교천단,34059,대전 유성구 자운로245번길 80,대전 유성구 추목동 403-1,042-861-1771,06:00 ~ 18:00,,1000대-무료,봉령각/법회당/복지관/사무실/주차장,,수운교천단,36.4204432,127.341688
산디마을 생태공원 캠핑장,34345,대전 대덕구 산디로 190,대전 대덕구 장동 685-1,070-4158-3360,,,,,,산디마을 생태공원 캠핑장,36.3960421,127.4403202
로하스 가족공원 캠핑장,34316,대전 대덕구 대청로424번길 200,대전 대덕구 미호동 476-2,042-933-6575,,,,,,로하스 가족공원 캠핑장,36.4562053,127.4723551
상소오토캠핑장,34712,대전 동구 산내로 748,대전 동구 상소동 1,042-273-4174,,,,,,상소오토캠핑장,36.2892128,127.4633172
조선의 정원서재 송시열의 남간정사,34505,대전 동구 충정로 53,남간정사,,,,,,,조선의 정원서재 송시열의 남간정사,36.3434178,127.4520107
옛 대전형무소,34812,대전 중구 중촌동 16-11,옛 대전형무소,042-606-6281,,,,,,"옛 대전형무소 망루, 우물",36.33713,127.4104
이사동 민속마을,34710,대전 동구 이사로 102-21,이사동 민속마을,,,,,,,500년 장묘문화의 보고 이사동 민속마을,36.28715,127.44822
옛 충남도청과 근현대사전시관,34863,대전 중구 중앙로 101,옛 충남도청과 근현대사전시관,042-270-4535~6,,,,,,옛 충남도청과 근현대사전시관,36.3281858,127.4246334
국립대전현충원,34151,대전 유성구 현충원로 251,,042-718-7114,,,,,,호국공원 국립대전현충원,36.3631933,127.2963118
카리용,35408,대전 서구 혜천로 100,카리용,042-580-6114,,,,,,최대 규모의 고전 종악기 카리용,36.3019893,127.3753571
성심당,34921,대전 중구 대종로480번길 15,성심당,1588-8069,,,,,,대한민국 3대 빵집 성심당(聖心堂),36.3277332,127.4273309
유성5일장,34172,대전 유성구 유성대로730번길 24,대전광역시 유성구 장대동,,,,300m 이내에 공영주차장 이용,,,도심 속 전통시장 유성5일장,36.357777,127.33392
대전예술의전당,35204,대전 서구 둔산대로 135,대전예술의전당,042-270-8333,,,,,,대전 예술의 홈그라운드 대전예술의전당,36.3648845,127.3937036
천연기념물센터,35204,대전 서구 유등로 927,천연기념물센터,042-610-7610,,,,,,천연기념물센터,36.3501443,127.4018221
특허청 발명인의 전당,35208,대전 서구 청사로 189,특허청 발명인의 전당,042-481-5940,"휴무일 : 공휴일, 명절",,,,http://www.kipo.go.kr,특허청 발명인의 전당,36.3616462,127.3853517
대전 문학관,34539,대전 동구 송촌남로11번길 116,대전문학관,042-626-5021,"09:00 ~ 18:00 / 휴무일 : 명절, 매년 1월 1일",,14면,,http://www.dlc.or.kr,대전 문학관,36.3561431,127.4373878
"골프테마파크, 조이마루",34125,대전 유성구 엑스포로97번길 40,골프테마파크,1544-1455,,,,,http://www.golfzonzoimaru.co.kr,"골프테마파크, 조이마루",36.376343,127.390465
대전 아쿠아리움,35052,대전 중구 보문산공원로 469,아쿠아리움,042-226-2100,"평일 10:00 ~19:00(입장마감 18:00), 주말 10:00~20:00(입장마감 19:00)",홈페이지 참조,총 453대 수용가능\n지상주차장 + 주차타워 + 공영주차장,,http://www.djaquarium.com,대전 아쿠아리움,36.2928232,127.398613
대전 시청자미디어센터,34126,대전 유성구 대덕대로512번길 20,대전 시청자미디어센터,042-865-3700,09:00 ~ 22:00 / 휴무일 : 명절,,100여대 주차가능,,http://blog.naver.com/medianuri,대전 시청자미디어센터,36.3782875,127.3795675
대전 테미예술창작센터,34951,대전 중구 보문로199번길 37-1,대전 테미예술창작센터,,"10:00~18:00(전시실) 09:00~21:00(열람실) / 휴무일 : 공휴일, 명절, 매주 월요일, 매년 1월 1일",,20대,,http://www.temi.or.kr,대전 테미예술창작센터,36.3203176,127.4208258
대전 창작센터,34924,대전 중구 대종로 470,,042-255-4700,"3월~10월 : 10:00 ~ 19:00, 11월~2월 : 10:00 ~ 18:00",,,,http://dmma.daejeon.go.kr/art/main.do,대전 창작센터,36.2982485,127.4551791
대청댐 물 문화관,34316,대전 대덕구 대청로 618-136,,042-930-7332,"이용안내 : 매주 화~일, 10:00 ~ 오후 5 :00(4:50까지 입장) / 휴무일 : 명절, 매주 월요일",,,,http://korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=736394,대청댐 물 문화관,36.4751713,127.4826896
대동하늘공원,34651,대전 동구 동대전로110번길 182,대동하늘공원,042-251-4114,,,,,,아름다운 야경을 볼 수 있는 보문산 보운대와,36.331715,127.45157
대전 전통나래관,34615,대전 동구 철갑2길 2,,042-636-8008,"09:00~18:00 / 휴무일 : 매주 월요일, 추석, 설날 당일",,전통나래관내 주차장,,http://www.djichc.or.kr,대전 전통나래관,36.334976,127.437386
주주 글램핑장,34205,대전 유성구 성북로 66-19,주주 글램핑장,042-383-4747,,,,,,,36.289455,127.30664
보문산 숲 치유센터,35052,대전 중구 보문산공원로 440,보문산 숲 치유센터,042-270-7861,09:00 ~ 18:00,,,,,,36.308796,127.42312
로하스 대청水포츠,34315,대전 대덕구 대청로 167,,,09:00 ~ 18:00,"래프팅 성인 15,000원 청소년 10,000원, 어린이 7,000원 카 약 성인 15,000원 청소년15,000원, 어린이 7,000원 오리배 대당 15,000원",,,,,36.448902,127.443596
무형문화재전수회관,34402,대전 대덕구 동춘당로94번길 50,,,"10:00 ~ 17:00 / 휴무일 : 매주 월요일, 매년 1월 1일, 설날, 추석당일",,,,http://www.djichc.or.kr,무형문화재전수회관,36.3670823,127.4417699
대전 평생학습관,34919,대전 중구 중교로 56,,,,,,,http://www.dllc.or.kr,대전 평생학습관,36.3277878,127.4292083
성북동산림욕장,34205,대전 유성구 성북로 463,성북동산림욕장,,09:00 ~ 24:00,,,"숲속의 문고, 화장실 등",,,36.31518,127.28152
대전 시립연정국악원,35204,대전 서구 둔산대로 181,,042-270-8500,,공연에 따라 다르므로 홈페이지 참조,한밭수목원 주차장 이용 - 무료,,http://www.koreamusic.go.kr,대전 시립연정국악원,36.3648845,127.3937036
대전 컨벤션센터,34125,대전 유성구 엑스포로 107,,042-250-1299,09:00 ~ 21:00,http://www.dcckorea.or.kr/center/guide/search.asp,"400대 최초 1시간 무료, 매 30분마다 500원 1일주차 5,000원","편의점,공예품전시장,비지니스센터,레스토랑,커피숍",http://www.dcckorea.or.kr,대전 컨벤션센터,36.374985,127.39169
우송예술회관,34606,대전 동구 동대전로 171,,042-629-6363,휴무일 : 공연없는날,홈페이지 참조 http://www.woosongart.co.kr,공연관람시 무료,,http://www.woosongart.co.kr,우송예술회관,36.3377276,127.4459658
동구청소년자연수련관,34712,대전 동구 산내로474번길 123,,042-274-2270,,수련프로그램 이용시/홈페이지 참조(http://www.yntc.or.kr),,"식당,강당,체육관,숙박시설,담력체험장,운동장,등산로",http://www.yntc.or.kr,동구청소년자연수련관,36.2239156,127.4476226
SPACE SSEE,34915,대전 중구 중앙로130번길 37-6,,070-4124-5501,10:00 ~ 19:00 / 휴무일 : 매주 월요일,,인근 공영주차장 이용,"책다방,테라스,식당",,SPACE SSEE,36.3269657,127.4248435
이공갤러리,34920,대전 중구 대흥로139번길 36,,042-242-2020,10:30 ~ 18:30,,"인근 공영주차장 이용, 요금별도부담",,http://www.igongart.co.kr,이공갤러리,36.3251696,127.4269592
쌍리갤러리,34915,대전 중구 중앙로130번길 46,,042-253-8118,11:00 ~ 21:00,,"근처 공용주차장 이용, 주차요금없음","카페,갤러리,공연장",,쌍리갤러리,36.3269657,127.4248435
현대갤러리,34916,대전 중구 중교로 33,,042-254-7978,,,,,,현대갤러리,36.3277878,127.4292083
우연갤러리,34920,대전 중구 대종로 467,,042-221-7185,10:00 ~ 19:00,,,,,우연갤러리,36.326252,127.42698
대전중구문화원,34917,대전 중구 대흥로 109,,042-256-3684,"09:00 ~ 18:00 / 휴무일 : 공휴일, 명절",,주차요금없음,"공연장,전시실",http://www.djcc.or.kr,대전중구문화원,36.3234097,127.4241039
한밭종합운동장,35021,대전 중구 대종로 373,,042-253-4181,00:00 ~ 24:00,,450 무료,,,한밭종합운동장,36.317337,127.42802
충남대학교 정심화국제문화회관,34134,대전 유성구 대학로 99,,042-821-8085,휴무일 : 둘째주 넷째주 토 / 일요일,공연에 따라 다르므로 홈페이지 참조,,,http://jsh.cnu.ac.kr/index.do,충남대학교 정심화국제문화회관,36.3701539,127.3460567
유성궁도장,34155,대전 유성구 덕명로56번길 89,,042-825-1130,08:00 ~ 21:00,"월 : 25,000원 년 : 300,000원",40대 주차가능,,,유성궁도장,36.3527375,127.3062462
복용승마장,34155,대전 유성구 덕명로56번길 199,,042-825-2852,06:00 ~ 19:00 / 휴무일 : 매주 월요일,"일 반 월회원 : 350,000원, 청소년 월회원 : 250,000원",100대 주차가능,,,복용승마장,36.3527375,127.3062462
대전월드컵경기장,34148,대전 유성구 월드컵대로 32,,042-610-2900,00:00 ~ 24:00,경기에 따라 다르므로 홈페이지 참조하세요,,,http://www.djsiseol.or.kr/sub05/worldcup/wor0101.asp,대전월드컵경기장,36.3484517,127.3349959
오원화랑,35240,대전 서구 둔산중로78번길 36,B101호,042-489-8778,10:00 ~ 18:00 / 휴무일 : 기획전 없을 때 일요일 휴무,,,,http://cafe.daum.net/owongallery/,오원화랑,36.3535659,127.3884972
정부대전청사,35208,대전 서구 청사로 189,,042-481-4114,,,,"우체국,은행,매점,약국,서점,안경점,의무실,구내식당,어린이집,수영장,탁구장,축구장,테니스코트,체력단련실,배구장,농구장 등",http://www.chungsa.go.kr/chungsa/frt/main.do,정부대전청사,36.3616462,127.3853517
대전 시청 전시실,35242,대전 서구 둔산로 100,,042-270-4368,연중무휴,,"휴일은 무료, 평일은 1시간 30분까지 무료",,http://www.daejeon.go.kr/fvu/index.do,대전 시청 전시실,36.3505508,127.3849608
대전 평생교육문화센터,35344,대전 서구 배재로 181,,042-270-7621,"09:30 ~ 21:00 / 휴무일 : 공휴일, 명절",프로그램별에 따라 다르므로 홈페이지 참조,,"보육실,시청각실,강의실,대회의실,여성사료관",http://www.daejeon.go.kr/lif/index.do,대전 평생교육문화센터,36.3280309,127.3705234
평송청소년문화센터,35204,대전 서구 둔산대로 201,,042-480-1622,06:00 ~ 21:00 / 휴무일 : 명절,프로그램 따라 다르므로 홈페이지 참조,무료,,http://www.pyoungsong.com,평송청소년문화센터,36.3648845,127.3937036
대덕 문화원,34360,대전 대덕구 대전로 1348,,042-627-7517,,,,,http://www.ddcc.or.kr/,대덕 문화원,36.3667692,127.419367
대전어린이회관,34148,대전 유성구 월드컵대로 32,,042-824-5500,"10:00 ~ 17:30 / 휴무일 : 명절 당일, 매주 월요일, 매년 1월 1일","체험숲 - 어린이 3,000원 보호자 1,500원 (단체-어린이 10명 이상 2,000원) 사계절상상놀이터 어린이 5,000원 보호자 3,500원 (단체-어린이 10명 이상 4,000원)",대전월드컵경기장 내 지하주차장 이용(E구역),"물품보관소, 수유실, 기저귀 교환대, 응급휴게실, 스낵코너, 카페테리아",http://www.djkids.or.kr,대전어린이회관,36.3484517,127.3349959
대전교통문화연수원,34126,대전 유성구 대덕대로 480,,042-879-2000,"10:00 ~ 17:00 / 휴무일 : 매주 월요일, 명절","어린이,청소년 2,000원 , 어른 3,000원",,,http://www.dtcc.or.kr,대전교통문화연수원,36.3768953,127.3816388
솔로몬로파크,34124,대전 유성구 엑스포로 219-39,,042-863-3165,"10:00 ~ 17:30 / 휴무일 : 명절, 매년 1월 1일, 매주 월요일",,90대 무료,,http://solomondj.lawnorder.go.kr/index.do,솔로몬로파크,36.3761443,127.4008419
엑스포다리(야경),34126,대전 유성구 엑스포로 85,,042-250-1400,"연중무휴, 일몰 ~ 23:00",,"한밭수목원, 예술의 전당, 시립미술관 주차장 이용 : 무료",,,엑스포다리(야경),36.37443,127.38898
밀쌈마을,34204,대전 유성구 세동로 44-14,,042-825-7881,09:00 ~ 18:00,체험에 따라 다르므로 홈페이지 참조,마을회관앞 : 20대,,http://www.sedong.or.kr/,,36.275066,127.275116
갑천 수상스포츠,0,대전 서구 만년동 397,갑천수상스포츠체험장,042-472-8865,11:00 ~ 17:00,,한밭수목원 주차장 무료 이용 : 200대,,http://www.watersports.or.kr,갑천 수상스포츠,36.3682266,127.3829954
목척교,34922,대전 중구 은행동 55-8,,042-606-7753,00:00 ~ 24:00,,,,,목척교,36.32946,127.42882
무수천하마을,35072,대전 중구 무수동 247-1,,042-285-5557,08:00 ~ 18:00,,,,http://musu.go2vil.org/,무수천하마을,36.27985,127.40182
보문산,35053,대전 중구 문화동 산 18-1,,042-270-7861,00:00 ~ 24:00,,사정공원 주차장 이용,,,보문산,36.299423,127.41981
선창마을,34204,대전 유성구 계백로93번길 111,,042-825-5553,09:00 ~ 17:00,체험에 따라 다르므로 홈페이지 참조,20대-무료,,http://seonchangi.com,선창마을,36.28006,127.26553
구봉산,35421,대전 서구 괴곡동 산 55,,042-611-5732,00:00 ~ 24:00,,,,,,36.283703,127.33541
만인산 자연휴양림,34712,대전 동구 산내로 106,, 042-280-5523,00:00 ~ 24:00,,50면(무료),,http://www.maninedu.or.kr,만인산 자연휴양림,36.20218,127.45511
